Timestamp,EEG.AF3,EEG.T7,EEG.Pz,EEG.T8,EEG.AF4
1700108843.132970,4288.974121,4475.000000,4122.436035,4263.846191,4276.025879
1700108843.140780,4295.897461,4462.820313,4137.051270,4267.179688,4280.000000
1700108843.148590,4287.948730,4460.641113,4132.051270,4266.025879,4283.717773
1700108843.156400,4286.538574,4458.461426,4128.589844,4271.282227,4288.589844
1700108843.164210,4296.153809,4442.307617,4146.153809,4277.436035,4295.384766
1700108843.172020,4297.051270,4437.307617,4143.077148,4273.717773,4295.641113
1700108843.179830,4293.205078,4447.436035,4137.692383,4268.846191,4294.743652
1700108843.187640,4298.461426,4443.333496,4163.077148,4268.974121,4298.461426
1700108843.195450,4302.051270,4432.051270,4171.666504,4268.205078,4299.230957
1700108843.203260,4297.948730,4439.358887,4160.641113,4264.615234,4297.051270
1700108843.211070,4301.666504,4451.922852,4173.589844,4264.102539,4296.153809
1700108843.218880,4311.794922,4448.589844,4188.589844,4273.333496,4297.307617
1700108843.226690,4308.077148,4439.102539,4186.794922,4284.102539,4301.794922
1700108843.234500,4291.025879,4432.051270,4179.230957,4281.153809,4305.384766
1700108843.242310,4282.948730,4417.692383,4157.051270,4268.717773,4304.102539
1700108843.250120,4289.615234,4407.179688,4147.051270,4260.769043,4304.871582
1700108843.257930,4293.974121,4420.384766,4170.000000,4259.743652,4307.051270
1700108843.265740,4292.307617,4432.948730,4178.205078,4263.077148,4302.051270
1700108843.273550,4300.512695,4428.846191,4169.615234,4268.077148,4296.410156
1700108843.281360,4317.179688,4438.205078,4174.615234,4272.051270,4301.410156
1700108843.289170,4319.871582,4451.538574,4159.230957,4275.641113,4308.461426
1700108843.296980,4307.436035,4436.922852,4136.794922,4275.000000,4307.948730
1700108843.304790,4298.077148,4430.384766,4158.846191,4270.641113,4309.230957
1700108843.312600,4295.384766,4452.948730,4169.487305,4271.666504,4313.461426
1700108843.320410,4298.205078,4467.436035,4139.871582,4275.384766,4308.974121
1700108843.328220,4308.333496,4471.666504,4144.358887,4273.077148,4302.820313
1700108843.336030,4312.563965,4472.563965,4166.922852,4269.615234,4306.410156
1700108843.343840,4305.000000,4449.615234,4155.000000,4271.410156,4310.641113
1700108843.351650,4303.589844,4429.102539,4157.051270,4277.051270,4313.205078
1700108843.359460,4309.871582,4439.358887,4173.333496,4283.974121,4318.974121
1700108843.367270,4308.205078,4448.461426,4152.307617,4286.153809,4321.538574
1700108843.375080,4303.205078,4445.384766,4140.384766,4278.974121,4321.282227
1700108843.382890,4305.000000,4446.153809,4165.769043,4267.051270,4322.179688
1700108843.390700,4308.077148,4439.871582,4169.487305,4260.256348,4319.871582
1700108843.398510,4314.358887,4432.820313,4152.179688,4261.538574,4320.897461
1700108843.406320,4326.538574,4441.666504,4150.384766,4261.794922,4324.487305
1700108843.414130,4329.743652,4442.436035,4155.769043,4257.179688,4316.794922
1700108843.421940,4318.846191,4430.897461,4165.641113,4259.615234,4310.769043
1700108843.429750,4309.871582,4437.820313,4171.922852,4268.846191,4318.205078
1700108843.437560,4311.025879,4448.846191,4163.846191,4270.000000,4320.512695
1700108843.445370,4318.717773,4441.666504,4171.025879,4266.666504,4317.563965
1700108843.453180,4327.436035,4441.410156,4181.922852,4270.128418,4322.436035
1700108843.460990,4329.487305,4448.077148,4156.666504,4271.922852,4326.666504
1700108843.468800,4327.820313,4437.179688,4137.820313,4269.358887,4326.538574
1700108843.476610,4331.794922,4440.512695,4149.102539,4275.000000,4323.205078
1700108843.484420,4336.538574,4471.025879,4140.128418,4283.461426,4315.000000
1700108843.492230,4337.051270,4475.384766,4124.487305,4282.948730,4319.743652
1700108843.500040,4337.307617,4452.948730,4132.692383,4283.205078,4335.641113
1700108843.507850,4334.102539,4445.000000,4123.846191,4286.282227,4335.128418
1700108843.515660,4334.230957,4444.615234,4111.282227,4279.615234,4333.717773
1700108843.523470,4345.128418,4448.846191,4135.897461,4268.846191,4344.615234
1700108843.531280,4341.153809,4463.205078,4144.487305,4261.282227,4330.897461
1700108843.539090,4314.230957,4457.051270,4127.179688,4248.846191,4300.000000
1700108843.546900,4304.230957,4438.077148,4150.769043,4241.410156,4301.794922
1700108843.554710,4319.871582,4438.461426,4181.025879,4253.461426,4324.615234
1700108843.562520,4333.717773,4437.179688,4170.000000,4272.563965,4338.077148
1700108843.570330,4345.512695,4429.230957,4174.358887,4284.358887,4348.846191
1700108843.578140,4350.897461,4434.230957,4187.692383,4278.589844,4344.743652
1700108843.585950,4338.461426,4435.897461,4161.025879,4253.717773,4320.769043
1700108843.593760,4335.897461,4439.871582,4158.974121,4245.897461,4317.820313
1700108843.601570,4351.410156,4452.436035,4194.358887,4269.102539,4337.179688
1700108843.609380,4355.256348,4437.436035,4173.846191,4280.256348,4341.153809
1700108843.617190,4353.846191,4416.794922,4124.230957,4272.307617,4341.666504
1700108843.625000,4354.102539,4434.230957,4119.615234,4270.256348,4351.538574
1700108843.632810,4337.948730,4452.820313,4124.871582,4263.461426,4344.615234
1700108843.640620,4333.717773,4455.512695,4129.102539,4259.871582,4332.692383
1700108843.648430,4360.000000,4460.384766,4146.922852,4276.153809,4338.589844
1700108843.656240,4365.128418,4447.179688,4133.333496,4279.487305,4336.666504
1700108843.664050,4343.333496,4431.025879,4110.769043,4268.589844,4328.717773
1700108843.671860,4346.410156,4443.461426,4129.871582,4275.769043,4345.128418
1700108843.679670,4363.077148,4449.230957,4143.333496,4275.897461,4360.128418
1700108843.687480,4360.897461,4440.512695,4141.410156,4261.538574,4352.179688
1700108843.695290,4358.589844,4445.256348,4169.230957,4271.666504,4352.820313
1700108843.703100,4364.230957,4445.641113,4192.436035,4285.641113,4361.794922
1700108843.710910,4361.538574,4439.358887,4187.051270,4278.589844,4360.512695
1700108843.718720,4354.871582,4438.717773,4182.307617,4278.717773,4362.307617
1700108843.726530,4349.487305,4423.846191,4169.102539,4279.487305,4359.743652
1700108843.734340,4348.717773,4415.128418,4156.666504,4269.487305,4345.000000
1700108843.742150,4360.512695,4436.153809,4167.948730,4278.974121,4346.538574
1700108843.749960,4366.025879,4441.153809,4158.077148,4291.538574,4356.153809
1700108843.757770,4347.692383,4425.512695,4120.512695,4276.794922,4348.974121
1700108843.765580,4337.051270,4433.205078,4112.179688,4264.615234,4351.922852
1700108843.773390,4352.051270,4444.743652,4127.307617,4267.179688,4364.358887
1700108843.781200,4360.897461,4441.666504,4133.846191,4268.333496,4357.307617
1700108843.789010,4354.230957,4448.077148,4141.153809,4273.846191,4356.538574
1700108843.796820,4357.692383,4448.205078,4149.487305,4274.615234,4371.282227
1700108843.804630,4369.487305,4430.897461,4150.897461,4264.358887,4366.153809
1700108843.812440,4368.974121,4433.205078,4153.333496,4268.717773,4357.179688
1700108843.820250,4363.717773,4451.153809,4168.333496,4280.384766,4368.974121
1700108843.828060,4372.179688,4447.436035,4195.128418,4281.922852,4378.589844
1700108843.835870,4380.000000,4434.102539,4200.641113,4287.948730,4378.589844
1700108843.843680,4364.743652,4433.589844,4174.230957,4287.051270,4373.846191
1700108843.851490,4350.641113,4436.282227,4160.641113,4271.282227,4361.153809
1700108843.859300,4364.871582,4437.563965,4161.410156,4276.025879,4359.615234
1700108843.867110,4372.692383,4439.743652,4144.487305,4291.538574,4367.179688
1700108843.874920,4353.077148,4439.102539,4130.256348,4285.641113,4360.128418
1700108843.882730,4348.717773,4442.051270,4127.307617,4281.922852,4358.461426
1700108843.890540,4363.974121,4446.666504,4118.846191,4285.512695,4370.256348
